"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7382","should login, logout, and verify redirection to login page","chromium","Wed Jun 04 09:44:37 GMT+04:00 2025","passed","Wed Jun 04 09:44:44 GMT+04:00 2025","Test Case 4: Logout User","","",""
"","8307","should login with correct credentials and then delete account","chromium","Wed Jun 04 09:44:34 GMT+04:00 2025","passed","Wed Jun 04 09:44:43 GMT+04:00 2025","Test Case 2: Login User with correct email and password","","",""
"","9713","should add specified products to cart and verify them","chromium","Wed Jun 04 09:44:27 GMT+04:00 2025","passed","Wed Jun 04 09:44:36 GMT+04:00 2025","Test Case 12: Add Products in Cart","","",""
"","7110","should add a review to a product and verify success","chromium","Wed Jun 04 09:44:27 GMT+04:00 2025","passed","Wed Jun 04 09:44:34 GMT+04:00 2025","Test Case 21: Add Review on Product","","",""
"","7414","should view products by brand","chromium","Wed Jun 04 09:45:20 GMT+04:00 2025","passed","Wed Jun 04 09:45:28 GMT+04:00 2025","Test Case 19: View Brand Products","","",""
"","8512","should add products, remove one, and verify cart content","chromium","Wed Jun 04 09:45:01 GMT+04:00 2025","passed","Wed Jun 04 09:45:09 GMT+04:00 2025","Test Case 17: Remove Products From Cart","","",""
"","6077","should search for a product and verify search results","chromium","Wed Jun 04 09:45:04 GMT+04:00 2025","passed","Wed Jun 04 09:45:10 GMT+04:00 2025","Test Case 9: Search Product","","",""
"","4284","should view products by category and sub-category","chromium","Wed Jun 04 09:45:22 GMT+04:00 2025","passed","Wed Jun 04 09:45:26 GMT+04:00 2025","Test Case 18: View Category Products","","",""
"","8202","should add a recommended item to cart and verify","chromium","Wed Jun 04 09:44:27 GMT+04:00 2025","passed","Wed Jun 04 09:44:35 GMT+04:00 2025","Test Case 22: Add Recommended Items to Cart","","",""
"","17518","should register, login, add product, complete order, and delete account","chromium","Wed Jun 04 09:44:40 GMT+04:00 2025","passed","Wed Jun 04 09:44:57 GMT+04:00 2025","Test Case 15: Place Order: Register before Checkout","","",""
"","4523","should subscribe with an email on the cart page and verify success message","chromium","Wed Jun 04 09:45:10 GMT+04:00 2025","passed","Wed Jun 04 09:45:14 GMT+04:00 2025","Test Case 11: Verify Subscription in Cart page","","",""
"","4579","should display an error message for incorrect login credentials","chromium","Wed Jun 04 09:44:35 GMT+04:00 2025","passed","Wed Jun 04 09:44:40 GMT+04:00 2025","Test Case 3: Login User with incorrect email and password","","",""
"","7699","Scroll down, click arrow, and verify scroll up to top text","chromium","Wed Jun 04 09:45:14 GMT+04:00 2025","passed","Wed Jun 04 09:45:22 GMT+04:00 2025","Test Case 25: Verify Scroll Up using ""Arrow"" button","","",""
"","5396","should set product quantity, add to cart, and verify quantity in cart","chromium","Wed Jun 04 09:45:14 GMT+04:00 2025","failed","Wed Jun 04 09:45:20 GMT+04:00 2025","Test Case 13: Verify Product quantity in Cart","","",""
"","4856","should display error for existing email","chromium","Wed Jun 04 09:44:57 GMT+04:00 2025","passed","Wed Jun 04 09:45:02 GMT+04:00 2025","Test Case 5: Register User with existing email","","",""
"","3155","should subscribe with an email and verify success message","chromium","Wed Jun 04 09:45:11 GMT+04:00 2025","passed","Wed Jun 04 09:45:14 GMT+04:00 2025","Test Case 10: Verify Subscription in home page","","",""
"","6050","should submit the contact us form and verify success message","chromium","Wed Jun 04 09:44:27 GMT+04:00 2025","failed","Wed Jun 04 09:44:33 GMT+04:00 2025","Test Case 6: Contact Us Form","","",""
"","3","Verify Address Details Match Registration in Checkout","chromium","Wed Jun 04 09:45:09 GMT+04:00 2025","skipped","Wed Jun 04 09:45:09 GMT+04:00 2025","Test Case 23: Verify Address Details in Checkout Page","","",""
"","4610","should navigate to the test cases page and verify its visibility","chromium","Wed Jun 04 09:45:20 GMT+04:00 2025","passed","Wed Jun 04 09:45:25 GMT+04:00 2025","Test Case 7: Verify Test Cases Page","","",""
"","5176","should display all products and verify product detail page","chromium","Wed Jun 04 09:45:09 GMT+04:00 2025","passed","Wed Jun 04 09:45:14 GMT+04:00 2025","Test Case 8: Verify All Products and product detail page","","",""
"","5834","Download Invoice after purchase and delete account","chromium","Wed Jun 04 09:44:34 GMT+04:00 2025","failed","Wed Jun 04 09:44:40 GMT+04:00 2025","Test Case 24: Download Invoice After Purchase Order","","",""
"","10339","should search, add to cart, login, and verify cart","chromium","Wed Jun 04 09:45:06 GMT+04:00 2025","passed","Wed Jun 04 09:45:16 GMT+04:00 2025","Test Case 20: Search Products and Verify Cart After Login","","",""
"","9061","should register a new user, verify login, and delete account","chromium","Wed Jun 04 09:44:52 GMT+04:00 2025","passed","Wed Jun 04 09:45:01 GMT+04:00 2025","Test Case 1: Register User","","",""
"","14540","should complete order by registering during checkout and then delete account","chromium","Wed Jun 04 09:44:51 GMT+04:00 2025","passed","Wed Jun 04 09:45:06 GMT+04:00 2025","Test Case 14: Place Order: Register while Checkout","","",""
"","13975","should login, add product, complete order, and delete account","chromium","Wed Jun 04 09:44:40 GMT+04:00 2025","passed","Wed Jun 04 09:44:54 GMT+04:00 2025","Test Case 16: Place Order: Login before Checkout","","",""
"","6037","Scroll down, then scroll up using page evaluate, and verify top text","chromium","Wed Jun 04 09:45:14 GMT+04:00 2025","passed","Wed Jun 04 09:45:20 GMT+04:00 2025","Test Case 26: Verify Scroll Up without ""Arrow"" button","","",""
